2025-10-12T16:03:01.671844	user_id=1	LOGIN
2025-10-12T16:03:30.138369	user_id=1	ADD_TX id=1
2025-10-12T16:03:59.524145	user_id=1	ADD_TX id=2
2025-10-12T16:04:18.387174	user_id=1	ADD_TX id=3
2025-10-12T16:04:41.622624	user_id=1	ADD_TX id=4
2025-10-12T16:05:30.305891	user_id=1	LOGOUT
2025-10-12T16:05:53.252812	user_id=2	LOGIN
2025-10-12T16:05:57.158616	user_id=2	LOGOUT
2025-10-13T06:21:21.959720	user_id=1	LOGIN
2025-10-13T06:21:44.931055	user_id=1	LOGOUT
2025-10-13T06:59:02.261124	user_id=1	LOGIN
2025-10-13T07:02:12.764002	user_id=1	ADD_TX id=5
2025-10-13T07:09:30.143747	user_id=1	LOGIN
2025-10-13T07:15:10.491385	user_id=1	ADD_TX id=6
2025-10-13T07:15:51.804953	user_id=1	DELETE_TX id=6
2025-10-13T07:29:15.096556	user_id=1	ADD_TX id=6
2025-10-13T07:30:14.172254	user_id=1	DELETE_TX id=6
2025-10-13T07:30:16.641048	user_id=1	DELETE_TX id=5
2025-10-13T07:30:18.597548	user_id=1	DELETE_TX id=1
2025-10-13T07:30:20.970646	user_id=1	DELETE_TX id=2
2025-10-13T07:30:23.143180	user_id=1	DELETE_TX id=3
2025-10-13T07:30:24.956126	user_id=1	DELETE_TX id=4
2025-10-13T07:30:33.056081	user_id=1	ADD_TX id=1
2025-10-13T07:30:45.493335	user_id=1	ADD_TX id=2
2025-10-13T07:31:10.264544	user_id=1	ADD_TX id=3
2025-10-13T07:31:27.836252	user_id=1	ADD_TX id=4
2025-10-13T07:31:49.782675	user_id=1	ADD_TX id=5
2025-10-13T07:34:26.477047	user_id=2	LOGIN
